model,shot,seed,num_samples,clip_similarity,cmmd,lpips,ssim
cyclegan,5,1,200,0.8934101948142051,1.6234018993732668,0.574197998791933,0.6480868068337441
cyclegan,5,2,200,0.8985723954439163,1.831511190703905,0.5953088513016701,0.6315085957944393
cyclegan,5,3,200,0.9057869017124176,1.742565338201052,0.5993597739934922,0.6130263285338878
cyclegan,10,1,200,0.9167516899108886,1.4049784136864751,0.5416033592820167,0.6779327893257141
cyclegan,10,2,200,0.9168869915604592,1.3974962926437406,0.5493273751437664,0.6739247307181359
cyclegan,10,3,200,0.9206263846158982,1.3256284173930322,0.5491583208739758,0.6508073811233044
cyclegan,20,1,200,0.9303395050764084,0.9746002064472403,0.5347537033259868,0.6839639633893967
cyclegan,20,2,200,0.9299173817038536,0.9989981250713154,0.5263266894221306,0.6870743027329445
cyclegan,20,3,200,0.9305872344970703,1.0666762034470256,0.5590062603354454,0.6793134795129299
cyclegan,50,1,200,0.9271988981962204,1.2034349562568547,0.5364153230190277,0.7042811501026154
cyclegan,50,2,200,0.9331806066632271,1.1156171296269335,0.532037655711174,0.703232116252184
cyclegan,50,3,200,0.9296809485554696,1.0384858835266186,0.5523725888133049,0.666415359377861
pix2pix,5,1,200,0.8924444773793221,2.344562878017875,0.5256530952453613,0.6792143739759922
pix2pix,5,2,200,0.8774668127298355,2.381482308686511,0.5484977041184902,0.5835138830542564
pix2pix,5,3,200,0.9067111086845397,2.1016336716341844,0.5269152462482453,0.5956114481389523
pix2pix,10,1,200,0.9243630710244178,1.7102246006535093,0.5082444547116757,0.7122630164027214
pix2pix,10,2,200,0.914563812315464,1.3148628487271719,0.5090961746871472,0.664291919618845
pix2pix,10,3,200,0.9256634637713432,1.3845526964255672,0.5064192627370357,0.6149719485640526
pix2pix,20,1,200,0.9271754485368728,1.3138379081321094,0.4993800823390484,0.7097466261684895
pix2pix,20,2,200,0.9282104262709617,1.1454541602753388,0.5068446907401085,0.7060667125880719
pix2pix,20,3,200,0.9335747009515762,1.2629997989641595,0.49156298488378525,0.7015122729539871
pix2pix,50,1,200,0.9300730630755425,1.0828162478693226,0.48602464169263837,0.7214293250441551
pix2pix,50,2,200,0.9273103514313698,1.3989673322603036,0.5002388603985309,0.6176082648336887
pix2pix,50,3,200,0.9358466082811355,0.8896747484452572,0.48689025416970255,0.6873871874809265
